id,full_name,abbreviation,nickname,city,state,year_founded,TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,SEASON,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK
1610612754,indiana pacers,ind,pacers,indiana,indiana,1976,indiana pacers,1610612754,82,25,57,0.305,3976.0,2021-22,109.2,113.9,-4.6,100.5,18.1,0.255,0.762,0.504,0.141,1,26,26,26,3,19,28,24,11,4,19,13,23,16
1610612755,philadelphia 76ers,phi,76ers,philadelphia,pennsylvania,1949,philadelphia 76ers,1610612755,71,39,32,0.549,3418.0,2023-24,113.6,111.8,1.8,100.2,17.9,0.248,0.739,0.488,0.117,2,15,14,15,17,14,12,13,27,13,27,24,1,18
1610612755,philadelphia 76ers,phi,76ers,philadelphia,pennsylvania,1949,philadelphia 76ers,1610612755,82,54,28,0.659,3976.0,2022-23,115.5,110.2,5.2,99.2,18.6,0.216,0.772,0.499,0.137,1,3,3,3,5,3,8,3,9,26,8,19,16,27
1610612755,philadelphia 76ers,phi,76ers,philadelphia,pennsylvania,1949,philadelphia 76ers,1610612755,82,51,31,0.622,3961.0,2021-22,111.0,108.3,2.7,98.4,17.9,0.201,0.768,0.489,0.126,1,6,6,6,8,11,12,9,16,29,17,22,4,26
1610612756,phoenix suns,phx,suns,phoenix,arizona,1968,phoenix suns,1610612756,71,42,29,0.592,3428.0,2023-24,115.4,112.1,3.3,101.2,19.3,0.254,0.751,0.517,0.147,2,9,10,10,10,8,13,9,11,8,19,6,25,15
1610612756,phoenix suns,phx,suns,phoenix,arizona,1968,phoenix suns,1610612756,82,45,37,0.549,3956.0,2022-23,112.1,110.1,2.1,100.8,19.3,0.266,0.76,0.508,0.134,1,9,9,9,22,17,7,10,4,5,17,8,10,18
1610612756,phoenix suns,phx,suns,phoenix,arizona,1968,phoenix suns,1610612756,82,64,18,0.78,3946.0,2021-22,112.5,104.7,7.8,102.0,19.5,0.223,0.771,0.505,0.127,1,1,1,1,24,3,3,2,5,19,13,12,5,9
1610612757,portland trail blazers,por,trail blazers,portland,oregon,1970,portland trail blazers,1610612757,71,19,52,0.268,3448.0,2023-24,106.2,114.6,-8.4,100.1,16.7,0.272,0.733,0.489,0.149,2,26,26,26,3,29,22,27,30,5,29,22,28,19
1610612757,portland trail blazers,por,trail blazers,portland,oregon,1970,portland trail blazers,1610612757,82,33,49,0.402,3946.0,2022-23,112.0,116.0,-4.0,101.0,17.8,0.224,0.749,0.484,0.143,1,26,26,26,29,18,27,25,19,24,25,25,22,17
1610612757,portland trail blazers,por,trail blazers,portland,oregon,1970,portland trail blazers,1610612757,82,27,55,0.329,3946.0,2021-22,105.5,114.0,-8.5,100.6,17.0,0.229,0.769,0.489,0.144,1,25,25,25,24,26,29,28,26,17,15,21,26,15
1610612758,sacramento kings,sac,kings,sacramento,california,1948,sacramento kings,1610612758,70,41,29,0.586,3395.0,2023-24,114.2,113.6,0.6,101.7,20.0,0.241,0.786,0.508,0.13,22,12,10,12,22,12,20,18,6,18,1,11,12,12
1610612758,sacramento kings,sac,kings,sacramento,california,1948,sacramento kings,1610612758,82,48,34,0.585,3966.0,2022-23,117.0,114.1,2.9,102.5,19.3,0.227,0.772,0.502,0.131,1,7,7,7,12,1,25,8,3,22,7,16,7,12
1610612758,sacramento kings,sac,kings,sacramento,california,1948,sacramento kings,1610612758,82,30,52,0.366,3961.0,2021-22,107.2,112.9,-5.7,102.1,17.3,0.213,0.76,0.484,0.137,1,24,24,24,8,25,27,25,23,23,21,27,15,8
1610612759,san antonio spurs,sas,spurs,san antonio,texas,1976,san antonio spurs,1610612759,71,15,56,0.211,3423.0,2023-24,107.5,115.0,-7.6,103.6,20.4,0.23,0.76,0.491,0.144,2,28,28,28,14,27,24,26,3,22,14,21,24,3
1610612759,san antonio spurs,sas,spurs,san antonio,texas,1976,san antonio spurs,1610612759,82,22,60,0.268,3971.0,2022-23,107.2,117.7,-10.5,104.1,18.7,0.256,0.749,0.493,0.145,1,28,28,28,8,29,30,30,8,7,24,21,24,2
1610612759,san antonio spurs,sas,spurs,san antonio,texas,1976,san antonio spurs,1610612759,82,34,48,0.415,3961.0,2021-22,109.4,110.0,-0.6,102.4,19.5,0.237,0.751,0.492,0.123,1,22,22,22,8,17,16,20,4,11,26,19,2,4
1610612760,oklahoma city thunder,okc,thunder,oklahoma city,oklahoma,1967,oklahoma city thunder,1610612760,70,49,21,0.7,3380.0,2023-24,117.3,109.4,7.9,102.3,19.2,0.212,0.733,0.482,0.121,22,3,2,3,25,3,5,2,12,28,28,27,4,10
1610612760,oklahoma city thunder,okc,thunder,oklahoma city,oklahoma,1967,oklahoma city thunder,1610612760,82,40,42,0.488,3971.0,2022-23,112.3,111.4,0.8,103.6,17.2,0.247,0.729,0.484,0.125,1,19,19,19,8,15,13,14,26,13,29,27,4,5
1610612760,oklahoma city thunder,okc,thunder,oklahoma city,oklahoma,1967,oklahoma city thunder,1610612760,82,24,58,0.293,3961.0,2021-22,102.2,110.2,-8.0,100.8,16.4,0.218,0.761,0.485,0.138,1,27,27,27,8,29,17,27,28,21,20,25,17,13
1610612761,toronto raptors,tor,raptors,toronto,ontario,1995,toronto raptors,1610612761,71,23,48,0.324,3433.0,2023-24,110.6,115.0,-4.3,101.7,20.2,0.245,0.743,0.488,0.135,2,25,25,25,4,24,23,23,4,16,25,23,19,12
1610612761,toronto raptors,tor,raptors,toronto,ontario,1995,toronto raptors,1610612761,82,41,41,0.5,3961.0,2022-23,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,1,17,17,17,18,16,14,14,25,3,10,13,1,26
1610612761,toronto raptors,tor,raptors,toronto,ontario,1995,toronto raptors,1610612761,82,48,34,0.585,3971.0,2021-22,109.6,107.9,1.7,98.6,16.1,0.284,0.756,0.507,0.125,1,10,10,10,5,16,11,13,30,2,24,11,3,25
1610612762,utah jazz,uta,jazz,utah,utah,1974,utah jazz,1610612762,71,29,42,0.408,3433.0,2023-24,112.8,117.6,-4.8,102.4,19.2,0.285,0.758,0.523,0.15,2,22,22,22,4,18,30,24,15,2,17,2,29,9
